<a_128><b_64><c_73>	Salmonella gastroenteritis	ICD9CM:0030
<a_101><b_59><c_174>	Botulism food poisoning	ICD9CM:0051
<a_73><b_0><c_44>	Food poisoning due to Vibrio vulnificus	ICD9CM:00581
<a_73><b_156><c_82>	Cryptosporidiosis	ICD9CM:0074
<a_128><b_64><c_239>	Intestinal infection due to staphylococcus	ICD9CM:00841
<a_128><b_64><c_139>	Intestinal infection due to campylobacter	ICD9CM:00843
<a_128><b_64><c_214>	Intestinal infection due to Clostridium difficile	ICD9CM:00845
<a_137><b_137><c_115>	Intestinal infection due to other gram-negative bacteria	ICD9CM:00847
<a_137><b_214><c_40>	Bacterial enteritis, unspecified	ICD9CM:0085
<a_73><b_64><c_129>	Enteritis due to norwalk virus	ICD9CM:00863
<a_233><b_180><c_96>	Enteritis due to other viral enteritis	ICD9CM:00869
<a_137><b_240><c_179>	Intestinal infection due to other organism, not elsewhere classified	ICD9CM:0088
<a_128><b_28><c_40>	Infectious colitis, enteritis, and gastroenteritis	ICD9CM:0090
<a_128><b_64><c_233>	Colitis, enteritis, and gastroenteritis of presumed infectious origin	ICD9CM:0091
<a_128><b_64><c_243>	Diarrhea of presumed infectious origin	ICD9CM:0093
<a_179><b_179><c_113>	Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	ICD9CM:01085
<a_156><b_206><c_165>	Pulmonary tuberculosis, unspecified, unspecified	ICD9CM:01190
<a_37><b_58><c_214>	Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	ICD9CM:01194
<a_134><b_111><c_153>	Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	ICD9CM:01215
<a_82><b_11><c_142>	Tuberculous meningitis, unspecified	ICD9CM:01300
<a_82><b_115><c_3>	Tuberculous abscess of brain, unspecified	ICD9CM:01330
<a_100><b_135><c_11>	Acute miliary tuberculosis, tubercle bacilli found (in sputum) by microscopy	ICD9CM:01803
<a_100><b_28><c_139>	Acute miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	ICD9CM:01805
<a_37><b_222><c_179>	Other specified miliary tuberculosis, unspecified	ICD9CM:01880
<a_37><b_211><c_245>	Miliary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	ICD9CM:01894
<a_37><b_205><c_240>	Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	ICD9CM:01895
<a_147><b_156><c_244>	Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	ICD9CM:01896
<a_1><b_35><c_40>	Brucellosis, unspecified	ICD9CM:0239
<a_73><b_98><c_233>	Listeriosis	ICD9CM:0270
<a_206><b_71><c_40>	Pasteurellosis	ICD9CM:0272
<a_179><b_218><c_40>	Pulmonary diseases due to other mycobacteria	ICD9CM:0310
<a_30><b_204><c_22>	Cutaneous diseases due to other mycobacteria	ICD9CM:0311
<a_179><b_75><c_166>	Disseminated due to other mycobacteria	ICD9CM:0312
<a_145><b_108><c_3>	Unspecified diseases due to mycobacteria	ICD9CM:0319
<a_182><b_214><c_40>	Cutaneous diphtheria	ICD9CM:03285
<a_145><b_112><c_126>	Other specified diphtheria	ICD9CM:03289
<a_1><b_112><c_114>	Diphtheria, unspecified	ICD9CM:0329
<a_60><b_76><c_124>	Whooping cough due to other specified organism	ICD9CM:0338
<a_36><b_244><c_99>	Streptococcal sore throat	ICD9CM:0340
<a_182><b_157><c_40>	Erysipelas	ICD9CM:035
<a_173><b_247><c_140>	Meningococcal meningitis	ICD9CM:0360
<a_149><b_153><c_100>	Streptococcal septicemia	ICD9CM:0380
<a_147><b_246><c_123>	Staphylococcal septicemia, unspecified	ICD9CM:03810
<a_149><b_64><c_182>	Methicillin susceptible Staphylococcus aureus septicemia	ICD9CM:03811
<a_149><b_213><c_44>	Methicillin resistant Staphylococcus aureus septicemia	ICD9CM:03812
<a_60><b_164><c_164>	Other staphylococcal septicemia	ICD9CM:03819
<a_149><b_121><c_201>	Pneumococcal septicemia [Streptococcus pneumoniae septicemia]	ICD9CM:0382
<a_149><b_0><c_113>	Septicemia due to anaerobes	ICD9CM:0383
<a_147><b_98><c_223>	Septicemia due to gram-negative organism, unspecified	ICD9CM:03840
<a_149><b_146><c_244>	Septicemia due to escherichia coli [E. coli]	ICD9CM:03842
<a_149><b_0><c_100>	Septicemia due to pseudomonas	ICD9CM:03843
<a_149><b_0><c_116>	Septicemia due to serratia	ICD9CM:03844
<a_60><b_164><c_40>	Other septicemia due to gram-negative organisms	ICD9CM:03849
<a_233><b_169><c_97>	Other specified septicemias	ICD9CM:0388
<a_147><b_121><c_108>	Unspecified septicemia	ICD9CM:0389
<a_100><b_110><c_201>	Pulmonary actinomycotic infection	ICD9CM:0391
<a_2><b_177><c_116>	Actinomycotic infection of other specified sites	ICD9CM:0398
