<a_2><b_222><c_42>	Salmonella gastroenteritis	ICD9CM:0030
<a_2><b_215><c_40>	Botulism food poisoning	ICD9CM:0051
<a_2><b_215><c_104>	Food poisoning due to Vibrio vulnificus	ICD9CM:00581
<a_65><b_228><c_160>	Cryptosporidiosis	ICD9CM:0074
<a_2><b_62><c_123>	Intestinal infection due to staphylococcus	ICD9CM:00841
<a_2><b_242><c_223>	Intestinal infection due to campylobacter	ICD9CM:00843
<a_2><b_73><c_8>	Intestinal infection due to Clostridium difficile	ICD9CM:00845
<a_2><b_62><c_112>	Intestinal infection due to other gram-negative bacteria	ICD9CM:00847
<a_2><b_232><c_33>	Bacterial enteritis, unspecified	ICD9CM:0085
<a_2><b_180><c_43>	Enteritis due to norwalk virus	ICD9CM:00863
<a_180><b_62><c_208>	Enteritis due to other viral enteritis	ICD9CM:00869
<a_2><b_124><c_225>	Intestinal infection due to other organism, not elsewhere classified	ICD9CM:0088
<a_2><b_53><c_164>	Infectious colitis, enteritis, and gastroenteritis	ICD9CM:0090
<a_2><b_164><c_71>	Colitis, enteritis, and gastroenteritis of presumed infectious origin	ICD9CM:0091
<a_2><b_204><c_161>	Diarrhea of presumed infectious origin	ICD9CM:0093
<a_40><b_152><c_103>	Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	ICD9CM:01085
<a_40><b_188><c_121>	Pulmonary tuberculosis, unspecified, unspecified	ICD9CM:01190
<a_40><b_1><c_121>	Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	ICD9CM:01194
<a_40><b_152><c_39>	Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	ICD9CM:01215
<a_40><b_76><c_251>	Tuberculous meningitis, unspecified	ICD9CM:01300
<a_40><b_21><c_125>	Tuberculous abscess of brain, unspecified	ICD9CM:01330
<a_40><b_152><c_96>	Acute miliary tuberculosis, tubercle bacilli found (in sputum) by microscopy	ICD9CM:01803
<a_40><b_77><c_1>	Acute miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	ICD9CM:01805
<a_40><b_238><c_121>	Other specified miliary tuberculosis, unspecified	ICD9CM:01880
<a_40><b_121><c_236>	Miliary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	ICD9CM:01894
<a_40><b_77><c_16>	Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	ICD9CM:01895
<a_40><b_121><c_237>	Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	ICD9CM:01896
<a_65><b_34><c_183>	Brucellosis, unspecified	ICD9CM:0239
<a_65><b_73><c_40>	Listeriosis	ICD9CM:0270
<a_65><b_112><c_121>	Pasteurellosis	ICD9CM:0272
<a_7><b_77><c_202>	Pulmonary diseases due to other mycobacteria	ICD9CM:0310
<a_9><b_19><c_110>	Cutaneous diseases due to other mycobacteria	ICD9CM:0311
<a_174><b_33><c_151>	Disseminated due to other mycobacteria	ICD9CM:0312
<a_174><b_171><c_225>	Unspecified diseases due to mycobacteria	ICD9CM:0319
<a_62><b_131><c_16>	Cutaneous diphtheria	ICD9CM:03285
<a_174><b_241><c_220>	Other specified diphtheria	ICD9CM:03289
<a_174><b_232><c_67>	Diphtheria, unspecified	ICD9CM:0329
<a_7><b_71><c_31>	Whooping cough due to other specified organism	ICD9CM:0338
<a_174><b_225><c_157>	Streptococcal sore throat	ICD9CM:0340
<a_174><b_150><c_72>	Erysipelas	ICD9CM:035
<a_108><b_152><c_239>	Meningococcal meningitis	ICD9CM:0360
<a_158><b_136><c_19>	Streptococcal septicemia	ICD9CM:0380
<a_158><b_1><c_61>	Staphylococcal septicemia, unspecified	ICD9CM:03810
<a_158><b_101><c_225>	Methicillin susceptible Staphylococcus aureus septicemia	ICD9CM:03811
<a_158><b_101><c_220>	Methicillin resistant Staphylococcus aureus septicemia	ICD9CM:03812
<a_158><b_171><c_33>	Other staphylococcal septicemia	ICD9CM:03819
<a_167><b_21><c_52>	Pneumococcal septicemia [Streptococcus pneumoniae septicemia]	ICD9CM:0382
<a_158><b_53><c_128>	Septicemia due to anaerobes	ICD9CM:0383
<a_158><b_252><c_36>	Septicemia due to gram-negative organism, unspecified	ICD9CM:03840
<a_158><b_205><c_7>	Septicemia due to escherichia coli [E. coli]	ICD9CM:03842
<a_158><b_223><c_225>	Septicemia due to pseudomonas	ICD9CM:03843
<a_158><b_252><c_70>	Septicemia due to serratia	ICD9CM:03844
<a_158><b_141><c_183>	Other septicemia due to gram-negative organisms	ICD9CM:03849
<a_158><b_124><c_227>	Other specified septicemias	ICD9CM:0388
<a_158><b_13><c_33>	Unspecified septicemia	ICD9CM:0389
<a_7><b_157><c_140>	Pulmonary actinomycotic infection	ICD9CM:0391
<a_174><b_238><c_27>	Actinomycotic infection of other specified sites	ICD9CM:0398
<a_2><b_116><c_1>	Gas gangrene	ICD9CM:0400
<a_108><b_124><c_214>	Toxic shock syndrome	ICD9CM:04082
<a_3><b_33><c_239>	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, unspecified	ICD9CM:04100
<a_3><b_131><c_16>	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A	ICD9CM:04101
<a_3><b_131><c_125>	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B	ICD9CM:04102
<a_3><b_131><c_41>	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group C	ICD9CM:04103
<a_3><b_254><c_178>	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]	ICD9CM:04104
<a_3><b_33><c_104>	Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus	ICD9CM:04109
<a_3><b_188><c_36>	Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified	ICD9CM:04110
<a_3><b_116><c_113>	Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site	ICD9CM:04111
<a_3><b_116><c_230>	Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site	ICD9CM:04112
<a_3><b_188><c_245>	Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus	ICD9CM:04119
<a_167><b_145><c_105>	Pneumococcus infection in conditions classified elsewhere and of unspecified site	ICD9CM:0412
<a_3><b_92><c_18>	FriedlÃ¤nder's bacillus infection in conditions classified elsewhere and of unspecified site	ICD9CM:0413
<a_3><b_92><c_70>	Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site	ICD9CM:0414
<a_3><b_126><c_243>	Other and unspecified Escherichia coli [E. coli]	ICD9CM:04149
<a_3><b_86><c_103>	Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site	ICD9CM:0415
